Series Name	Series Code	Country Name	Country Code	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
"Age at first marriage, female"	SP.DYN.SMAM.FE	Denmark	DNK	30.8	30.9	30.9	30.8	30.8	30.8	25.4	31.1	31.3	31.5	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Czech Republic	CZE	28.1	28.5	28.9	29.3	29.8	..	28.5	30.4	30.9	31.3	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Canada	CAN	..	26.6	..	..	..	..	26.9	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Brazil	BRA	..	..	..	..	..	29.7	..	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Belgium	BEL	..	29.8	30.2	..	30.7	..	26.3	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Austria	AUT	..	..	..	..	..	..	27.1	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Spain	ESP	..	..	..	..	..	..	27.7	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Sweden	SWE	32.3	32.2	32	31.8	31.6	31.4	31.2	31.2	..	31	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Switzerland	CHE	29.5	29.2	29.9	29.7	29.8	..	27	30.6	..	30.4	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	United Kingdom	GBR	..	..	..	..	33.2	33.3	28.7	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	United States	USA	..	..	..	..	28.8	..	..	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Russian Federation	RUS	..	..	..	..	..	27	..	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Netherlands	NLD	33	33.2	33.4	33.6	33.7	33.8	28.7	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Italy	ITA	..	33.3	33.5	32	33.8	34	32.4	34.3	34.5	34.6	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Japan	JPN	31.1	..	..	..	..	31.2	..	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Hungary	HUN	31.3	31.7	32	32.4	32.8	33.3	30.5	34	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Germany	DEU	..	33.6	..	..	..	..	29.8	34.2	34.2	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	France	FRA	33	..	..	..	33.4	..	27.7	33.6	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Finland	FIN	32.3	32.3	32.2	32.1	32	31.9	31.9	31.9	31.9	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Denmark	DNK	32.8	32.8	32.8	32.7	32.7	32.7	27.4	33	33.2	33.3	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Czech Republic	CZE	30.5	30.9	31.2	31.6	32.1	..	31.1	32.9	33.3	33.7	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Canada	CAN	..	28.6	..	..	..	..	28.6	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Brazil	BRA	..	..	..	..	..	31.9	..	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Belgium	BEL	..	32.2	32.6	..	33	..	28.6	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Austria	AUT	..	..	..	..	..	..	29.8	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Spain	ESP	..	..	..	..	..	..	30.3	..	..	..	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Sweden	SWE	34.4	34.3	34.1	33.9	33.7	33.5	33.2	33.2	..	33.1	..	..	..	..
"Age at first marriage, male"	SP.DYN.SMAM.MA	Switzerland	CHE	32.4	32.1	32.7	32.5	32.7	..	29.7	33.2	..	32.8	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	United Kingdom	GBR	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	United States	USA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Netherlands	NLD	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Italy	ITA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Japan	JPN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Hungary	HUN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Germany	DEU	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	France	FRA	..	..	0.028	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Finland	FIN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Denmark	DNK	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Czech Republic	CZE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Canada	CAN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Brazil	BRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Belgium	BEL	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Spain	ESP	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Sweden	SWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Community health workers (per 1,000 people)"	SH.MED.CMHW.P3	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	United Kingdom	GBR	3010.1806640625	3251.677734375	3740.19799804688	3606.22900390625	3273.7275390625	3309.48095703125	3501.94970703125	3492.8896484375	4207.8876953125	4601.13720703125	4326.25	3945.00903320313	3858.67431640625	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	United States	USA	6451.7705078125	6819.76025390625	7175.85546875	7420.70849609375	7699.42919921875	7957.279296875	8169.90771484375	8440.9951171875	8647.6435546875	9067.9990234375	9538.0703125	9941.34765625	10246.138671875	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Russian Federation	RUS	271.986724853516	352.749542236328	461.879516601563	609.865112304688	516.698608398438	567.377685546875	684.752624511719	760.070678710938	811.16943359375	742.284973144531	501.853302001953	469.130920410156	585.873229980469	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Netherlands	NLD	3821.95947265625	4076.595703125	4689.9326171875	5360.74853515625	5261.57080078125	5186.6328125	5554.84521484375	5284.94873046875	5531.15380859375	5594.43115234375	4674.6796875	4753.376953125	4911.4404296875	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Italy	ITA	2676.48681640625	2830.18188476563	3088.47021484375	3489.98583984375	3324.37353515625	3214.54638671875	3387.57568359375	3125.61157226563	3195.55346679688	3190.08813476563	2708.83544921875	2736.2626953125	2840.13061523438	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Japan	JPN	2883.08325195313	2754.15747070313	2772.45556640625	3213.39892578125	3685.82543945313	4060.19018554688	5087.10205078125	5212.06982421875	4336.14990234375	4099.46484375	3733.67333984375	4174.904296875	4168.986328125	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Hungary	HUN	895.203308105469	893.203002929688	1003.25817871094	1117.20227050781	943.687683105469	983.11083984375	1063.43225097656	961.138366699219	990.631164550781	1006.15649414063	870.519226074219	914.55859375	981.423034667969	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Germany	DEU	3547.22534179688	3684.42626953125	4166.7607421875	4635.93408203125	4643.0029296875	4597.24462890625	5021.630859375	4754.65576171875	5094.416015625	5290.72216796875	4617.49072265625	4734.18310546875	5033.4521484375	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	France	FRA	3573.60278320313	3812.53588867188	4314.52734375	4793.8134765625	4724.20703125	4593.392578125	4933.40478515625	4652.287109375	4900.39013671875	4987.8740234375	4204.09033203125	4256.96142578125	4379.72705078125	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Finland	FIN	3111.373046875	3286.42895507813	3774.77758789063	4315.478515625	4179.83837890625	4099.587890625	4548.8291015625	4411.17626953125	4306.80517578125	4739.98828125	4121.90185546875	4094.89477539063	4205.74267578125	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Denmark	DNK	4442.75537109375	4778.8916015625	5468.37939453125	6137.7763671875	6221.68896484375	6011.53662109375	6281.00439453125	6003.83203125	6236.55419921875	6380.7841796875	5469.333984375	5565.59375	5800.1513671875	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Czech Republic	CZE	852.652465820313	942.118041992188	1110.17663574219	1449.33679199219	1442.24279785156	1373.93176269531	1516.55541992188	1387.40600585938	1554.50903320313	1512.92614746094	1284.04675292969	1321.62023925781	1475.91516113281	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Canada	CAN	3282.90478515625	3767.27490234375	4190.35302734375	4453.64599609375	4347.73193359375	5044.13525390625	5361.23828125	5408.9306640625	5345.318359375	5081.55908203125	4539.1396484375	4518.13623046875	4754.94775390625	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Brazil	BRA	383.304595947266	483.428283691406	599.858459472656	704.013244628906	718.029541015625	891.76416015625	1025.49035644531	950.929504394531	974.498718261719	1009.82867431641	776.15283203125	795.661560058594	928.79931640625	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Belgium	BEL	3339.99267578125	3474.42578125	3988.88598632813	4539.73974609375	4566.75537109375	4449.54296875	4856.177734375	4614.677734375	4849.91357421875	4944.26123046875	4171.05322265625	4278.771484375	4507.3564453125	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Austria	AUT	3708.92138671875	3879.533203125	4472.8466796875	5037.37158203125	4909.23291015625	4796.11328125	5161.05810546875	4966.37646484375	5233.853515625	5386.4248046875	4610.966796875	4718.9443359375	4939.87548828125	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Spain	ESP	2050.84228515625	2227.94213867188	2587.02416992188	2967.60034179688	2912.54174804688	2775.14013671875	2894.76440429688	2588.67456054688	2628.86376953125	2671.28295898438	2351.53002929688	2390.63110351563	2506.46484375	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Sweden	SWE	3573.54541015625	3788.66088867188	4321.8369140625	4652.8095703125	4151.79833984375	4437.119140625	6386.69287109375	6273.509765625	6723.07470703125	6628.458984375	5623.21435546875	5707.05810546875	5904.583984375	..
Current health expenditure per capita (current US$)	SH.XPD.CHEX.PC.CD	Switzerland	CHE	5964.7265625	5900.513671875	6401.8076171875	7411.2060546875	7599.47265625	8021.8095703125	9572.171875	9286.5498046875	9689.6748046875	10014.708984375	9807.798828125	9835.9638671875	9956.259765625	..
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	United Kingdom	GBR	9.6	9.4	9.4	9.4	9	8.9	8.7	8.9	9	8.8	9.2	9.1	9.2	9.3
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	United States	USA	8.3	8.1	8	8.1	7.9	7.995	8.073	8.102	8.215	8.237	8.44	8.493	8.638	8.6
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Russian Federation	RUS	16.1	15.2	14.6	14.5	14.1	14.2	13.5	13.3	13	13.1	13	12.9	12.4	12.4
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Netherlands	NLD	8.4	8.3	8.1	8.2	8.1	8.2	8.1	8.4	8.4	8.3	8.7	8.7	8.8	8.9
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Italy	ITA	9.8	9.6	9.8	9.9	10	9.9	10	10.3	10	9.8	10.7	10.1	10.7	10.5
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Japan	JPN	8.5307537586188	8.53	8.71	9.1	9.1	9.5	9.9	10	10.1	10.1	10.3	10.5	10.8	11
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Hungary	HUN	13.5	13.1	13.2	13	13	13	12.9	13	12.8	12.8	13.4	13	13.5	13.4
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Germany	DEU	10.1	10	10.1	10.3	10.4	10.5	10.6	10.8	11.1	10.7	11.3	11.1	11.3	11.5
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	France	FRA	8.5	8.3	8.3	8.5	8.5	8.5	8.4	8.7	8.7	8.4	8.9	8.9	9.1	9.2
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Finland	FIN	9.1	9.1	9.3	9.2	9.3	9.5	9.4	9.6	9.5	9.6	9.6	9.8	9.8	9.9
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Denmark	DNK	10.1	10.2	10.2	9.9	9.9	9.8	9.4	9.4	9.3	9.1	9.2	9.2	9.2	9.5
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Czech Republic	CZE	10.6	10.2	10.2	10.1	10.3	10.2	10.2	10.3	10.4	10	10.5	10.2	10.5	10.6
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Canada	CAN	7.1	7	7.1	7.2	7.1	7	7.1	7.1	7.2	7.3	7.4	7.4	7.5	7.7
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Brazil	BRA	6.037	6.022	6.016	6.017	6.027	6.045	6.071	6.106	6.147	6.195	6.25	6.311	6.378	6.452
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Belgium	BEL	9.9	9.6	9.5	9.8	9.6	9.7	9.4	9.8	9.8	9.3	9.8	9.5	9.6	10.7
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Austria	AUT	9.1	9	9	9	9.3	9.2	9.1	9.4	9.4	9.2	9.6	9.2	9.5	9.5
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Spain	ESP	8.8	8.3	8.5	8.4	8.3	8.2	8.3	8.6	8.3	8.5	9.1	8.8	9.1	9.1
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Sweden	SWE	10.2	10	10	9.9	9.7	9.6	9.5	9.7	9.4	9.2	9.3	9.2	9.1	9.1
"Death rate, crude (per 1,000 people)"	SP.DYN.CDRT.IN	Switzerland	CHE	8.2	8.1	8.1	8	8.1	8	7.8	8	8	7.8	8.2	7.8	7.9	7.8
Malaria cases reported	SH.STA.MALR	United Kingdom	GBR	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	United States	USA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Netherlands	NLD	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Italy	ITA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Japan	JPN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Hungary	HUN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Germany	DEU	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	France	FRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Finland	FIN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Denmark	DNK	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Czech Republic	CZE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Canada	CAN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Brazil	BRA	606067	549469	458652	315746	309316	334483	267146	242758	168862	139272	138229	124178	189503	187693
Malaria cases reported	SH.STA.MALR	Belgium	BEL	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Spain	ESP	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Sweden	SWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Malaria cases reported	SH.STA.MALR	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	United Kingdom	GBR	61.571	60.822	60.006	60.097	58.132	57.445	55.743	54.362	53.891	53.642	54.153	55.36	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	United States	USA	81.507	80.928	79.447	78.705	79.055	77.159	77.926	77.707	78.073	79.352	80.389	82.066	81.935	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Russian Federation	RUS	172.552	157.269	147.303	145.778	138.365	136.446	129.735	124.077	120.12	120.336	..	..	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Netherlands	NLD	61.402	59.326	57.41	57.538	55.941	54.912	55.696	53.79	51.226	50.465	49.464	51.048	..	..
